run1,run2,jaccard_edge_similarity
20241209_000851_corn stover_to_ethanol_(10),20241209_004018_corn stover_to_ethanol_(11),0.25925925925925924
20241209_000851_corn stover_to_ethanol_(10),20241209_004018_corn stover_to_ethanol_(12),0.43478260869565216
20241209_000851_corn stover_to_ethanol_(10),20241209_004018_corn stover_to_ethanol_(13),0.19230769230769232
20241209_000851_corn stover_to_ethanol_(10),20241209_004018_corn stover_to_ethanol_(14),0.38095238095238093
20241209_000851_corn stover_to_ethanol_(10),20241209_004018_corn stover_to_ethanol_(15),0.17857142857142858
20241209_000851_corn stover_to_ethanol_(10),20241209_004018_corn stover_to_ethanol_(16),0.24
20241209_000851_corn stover_to_ethanol_(10),20241209_004018_corn stover_to_ethanol_(17),0.2222222222222222
20241209_000851_corn stover_to_ethanol_(10),20241209_004018_corn stover_to_ethanol_(18),0.28
20241209_000851_corn stover_to_ethanol_(10),20241209_004018_corn stover_to_ethanol_(19),0.24
20241209_000851_corn stover_to_ethanol_(10),20241209_004018_corn stover_to_ethanol_(2),0.25
20241209_000851_corn stover_to_ethanol_(10),20241209_004018_corn stover_to_ethanol_(20),0.24
20241209_000851_corn stover_to_ethanol_(10),20241209_004018_corn stover_to_ethanol_(3),0.2916666666666667
20241209_000851_corn stover_to_ethanol_(10),20241209_004018_corn stover_to_ethanol_(4),0.34782608695652173
20241209_000851_corn stover_to_ethanol_(10),20241209_004018_corn stover_to_ethanol_(5),0.25925925925925924
20241209_000851_corn stover_to_ethanol_(10),20241209_004018_corn stover_to_ethanol_(6),0.2692307692307692
20241209_000851_corn stover_to_ethanol_(10),20241209_004018_corn stover_to_ethanol_(7),0.3181818181818182
20241209_000851_corn stover_to_ethanol_(10),20241209_004018_corn stover_to_ethanol_(8),0.30434782608695654
20241209_000851_corn stover_to_ethanol_(10),20241209_004018_corn stover_to_ethanol_(9),0.30434782608695654
20241209_000851_corn stover_to_ethanol_(2),20241209_000851_corn stover_to_ethanol_(3),0.34782608695652173
20241209_000851_corn stover_to_ethanol_(2),20241209_000851_corn stover_to_ethanol_(4),0.5555555555555556
20241209_000851_corn stover_to_ethanol_(2),20241209_000851_corn stover_to_ethanol_(5),0.16666666666666666
20241209_000851_corn stover_to_ethanol_(2),20241209_000851_corn stover_to_ethanol_(6),0.4375
20241209_000851_corn stover_to_ethanol_(2),20241209_000851_corn stover_to_ethanol_(7),0.3181818181818182
20241209_000851_corn stover_to_ethanol_(2),20241209_000851_corn stover_to_ethanol_(8),0.17391304347826086
20241209_000851_corn stover_to_ethanol_(2),20241209_000851_corn stover_to_ethanol_(9),0.4444444444444444
20241209_000851_corn stover_to_ethanol_(2),20241209_001652_corn stover_to_ethanol_(1),0.24
20241209_000851_corn stover_to_ethanol_(2),20241209_001652_corn stover_to_ethanol_(10),0.25
20241209_000851_corn stover_to_ethanol_(2),20241209_001652_corn stover_to_ethanol_(11),0.3333333333333333
20241209_000851_corn stover_to_ethanol_(2),20241209_001652_corn stover_to_ethanol_(12),0.47368421052631576
20241209_000851_corn stover_to_ethanol_(2),20241209_001652_corn stover_to_ethanol_(13),0.38095238095238093
20241209_000851_corn stover_to_ethanol_(2),20241209_001652_corn stover_to_ethanol_(14),0.2857142857142857
20241209_000851_corn stover_to_ethanol_(2),20241209_001652_corn stover_to_ethanol_(15),0.5555555555555556
20241209_000851_corn stover_to_ethanol_(2),20241209_001652_corn stover_to_ethanol_(16),0.23809523809523808
20241209_000851_corn stover_to_ethanol_(2),20241209_001652_corn stover_to_ethanol_(17),0.21739130434782608
20241209_000851_corn stover_to_ethanol_(2),20241209_001652_corn stover_to_ethanol_(18),0.2857142857142857
20241209_000851_corn stover_to_ethanol_(2),20241209_001652_corn stover_to_ethanol_(19),0.38095238095238093
20241209_000851_corn stover_to_ethanol_(2),20241209_001652_corn stover_to_ethanol_(2),0.3181818181818182
20241209_000851_corn stover_to_ethanol_(2),20241209_001652_corn stover_to_ethanol_(20),0.2727272727272727
20241209_000851_corn stover_to_ethanol_(2),20241209_001652_corn stover_to_ethanol_(3),0.2
20241209_000851_corn stover_to_ethanol_(2),20241209_001652_corn stover_to_ethanol_(4),0.20833333333333334
20241209_000851_corn stover_to_ethanol_(2),20241209_001652_corn stover_to_ethanol_(5),0.3
20241209_000851_corn stover_to_ethanol_(2),20241209_001652_corn stover_to_ethanol_(6),0.42105263157894735
20241209_000851_corn stover_to_ethanol_(2),20241209_001652_corn stover_to_ethanol_(7),0.2727272727272727
20241209_000851_corn stover_to_ethanol_(2),20241209_001652_corn stover_to_ethanol_(8),0.2916666666666667
20241209_000851_corn stover_to_ethanol_(2),20241209_001652_corn stover_to_ethanol_(9),0.3181818181818182
20241209_000851_corn stover_to_ethanol_(2),20241209_003530_corn stover_to_ethanol_(1),0.25
20241209_000851_corn stover_to_ethanol_(2),20241209_003530_corn stover_to_ethanol_(10),0.30434782608695654
20241209_000851_corn stover_to_ethanol_(2),20241209_003530_corn stover_to_ethanol_(11),0.3333333333333333
20241209_000851_corn stover_to_ethanol_(2),20241209_003530_corn stover_to_ethanol_(12),0.25
20241209_000851_corn stover_to_ethanol_(2),20241209_003530_corn stover_to_ethanol_(13),0.2727272727272727
20241209_000851_corn stover_to_ethanol_(2),20241209_003530_corn stover_to_ethanol_(14),0.2727272727272727
20241209_000851_corn stover_to_ethanol_(2),20241209_003530_corn stover_to_ethanol_(15),0.38095238095238093
20241209_000851_corn stover_to_ethanol_(2),20241209_003530_corn stover_to_ethanol_(16),0.2857142857142857
20241209_000851_corn stover_to_ethanol_(2),20241209_003530_corn stover_to_ethanol_(17),0.20833333333333334
20241209_000851_corn stover_to_ethanol_(2),20241209_003530_corn stover_to_ethanol_(18),0.30434782608695654
20241209_000851_corn stover_to_ethanol_(2),20241209_003530_corn stover_to_ethanol_(19),0.2727272727272727
